CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,AvgTransactionValue,TotalSpend,Recency
50001,56,Male,143,40,18,152,38676,22
50002,69,Female,61,1,13,26,34329,132
50003,46,Female,19,19,14,294,27028,113
50004,32,Female,192,87,10,14,30382,134
50005,60,Male,38,26,3,20,45484,67
50006,25,Female,189,29,7,217,17706,77
50007,38,Female,32,59,18,445,2157,90
50008,56,Female,98,63,16,427,43119,116
50009,36,Male,170,98,17,90,30306,87
50010,40,Male,19,83,6,42,46209,68
50011,28,Female,44,62,12,314,25993,162
50012,28,Female,15,48,19,386,23282,101
50013,41,Female,100,62,3,168,13531,162
50014,53,Male,96,18,3,283,35857,57
50015,57,Male,188,66,18,124,22543,165
50016,41,Male,83,27,11,226,47983,134
50017,20,Female,45,6,6,270,46837,71
50018,39,Male,105,70,19,167,40107,173
50019,19,Female,198,59,5,54,1958,169
50020,41,Female,107,6,13,129,32113,103
50021,61,Male,141,31,5,224,41049,133
50022,47,Female,170,94,3,137,37309,60
50023,55,Male,30,56,19,263,41114,145
50024,19,Female,68,54,17,47,33439,109
50025,38,Female,195,85,3,374,29012,101
50026,50,Male,154,41,15,219,36148,9
50027,29,Female,34,18,17,361,10752,132
50028,39,Female,96,87,13,103,40784,170
50029,61,Female,176,23,14,38,16682,174
50030,42,Female,195,92,16,173,693,74
50031,66,Female,165,36,11,146,30039,96
50032,44,Female,123,25,17,32,2357,129
50033,59,Female,169,7,5,140,37547,87
50034,45,Female,127,82,15,95,42583,115
50035,33,Male,31,20,18,193,13327,145
50036,32,Male,190,5,16,433,41665,116
50037,64,Female,163,18,14,246,12697,128
50038,68,Female,192,33,14,193,8752,91
50039,61,Male,182,79,13,323,41313,79
50040,69,Female,140,35,1,168,24691,118
50041,20,Male,17,65,6,479,16204,7
50042,54,Male,31,63,11,20,17116,133
50043,68,Male,64,85,11,51,15919,116
50044,24,Female,136,72,16,244,43171,103
50045,38,Female,104,71,3,140,35325,53
50046,26,Female,101,41,17,194,31393,119
50047,56,Male,20,50,14,23,43943,3
50048,35,Male,170,30,2,311,47031,62
50049,21,Male,69,38,9,263,2169,32
50050,42,Female,187,35,8,156,37939,2
50051,31,Male,161,66,11,389,43507,80
50052,67,Male,116,46,7,69,12828,124
50053,26,Female,43,8,2,424,17218,81
50054,43,Male,165,68,4,301,2801,53
50055,19,Male,125,37,14,169,15839,140
50056,37,Female,174,85,13,456,25512,124
50057,45,Female,24,13,13,35,33575,133
50058,64,Male,105,73,13,74,39389,4
50059,24,Female,191,45,5,395,5458,56
50060,61,Male,43,29,12,79,36033,80
50061,25,Female,59,41,6,391,8066,45
50062,64,Male,65,56,14,182,40221,148
50063,52,Female,115,88,8,471,30795,53
50064,31,Male,142,16,8,485,5770,73
50065,34,Female,25,12,7,234,18769,16
50066,53,Female,96,66,17,162,25772,93
50067,67,Female,142,62,11,49,43738,113
50068,57,Female,20,19,10,155,7705,30
50069,21,Female,81,30,13,375,1379,20
50070,19,Female,76,16,10,107,21286,106
50071,23,Female,147,88,14,257,31960,87
50072,59,Male,151,13,9,21,10312,36
50073,21,Male,42,69,7,484,28007,22
50074,46,Female,52,23,7,33,42492,129
50075,35,Female,57,62,18,234,14616,21
50076,43,Male,131,31,16,254,19328,176
50077,61,Male,163,53,8,472,2460,5
50078,51,Female,60,17,16,180,39088,120
50079,27,Male,180,49,19,41,3698,168
50080,53,Male,63,49,15,123,5678,82
50081,31,Female,53,67,15,218,5998,79
50082,48,Female,85,26,6,492,8297,45
50083,65,Female,141,13,9,312,49557,159
50084,32,Male,172,38,15,438,15895,143
50085,25,Female,163,22,7,44,5580,58
50086,31,Female,15,85,8,214,18393,45
50087,40,Male,174,29,18,387,25675,170
50088,57,Female,150,45,16,393,41907,152
50089,38,Male,83,46,15,402,32186,38
50090,33,Male,44,39,3,275,32675,51
50091,62,Male,129,69,1,74,13364,24
50092,35,Male,22,78,13,452,27405,91
50093,64,Male,127,82,12,107,43602,161
50094,41,Male,33,68,9,194,49270,147
50095,43,Female,73,97,2,247,47004,25
50096,42,Female,197,39,9,494,29208,70
50097,62,Female,172,20,8,482,42921,49
50098,58,Male,93,77,5,479,46036,17
50099,46,Female,50,68,13,275,12766,149
50100,32,Male,69,35,2,483,37896,43
50101,62,Female,58,8,10,412,21733,82
50102,18,Male,169,52,6,241,6134,150
50103,42,Female,91,40,7,118,17522,63
50104,24,Male,92,36,3,498,21834,24
50105,26,Female,115,6,14,187,45779,33
50106,41,Male,196,86,16,258,37523,17
50107,18,Female,190,70,6,333,39506,176
50108,61,Male,44,73,8,369,39524,44
50109,25,Female,53,16,1,14,21852,153
50110,41,Female,27,46,15,166,22836,107
50111,28,Female,136,59,17,239,31155,99
50112,68,Male,158,38,18,125,39089,29
50113,34,Male,186,97,3,270,34418,12
50114,25,Male,126,18,6,325,5305,100
50115,52,Male,169,12,17,330,38604,127
50116,52,Male,59,54,13,136,34171,137
50117,50,Female,133,91,17,37,40020,86
50118,22,Male,49,47,16,348,26648,53
50119,59,Female,170,1,17,237,22728,61
50120,56,Female,21,15,1,138,2391,159
50121,58,Male,124,91,16,38,26454,113
50122,45,Female,128,80,6,188,47578,48
50123,24,Male,65,21,8,173,24416,108
50124,26,Male,60,1,1,169,45542,79
50125,25,Male,34,93,2,329,43697,47
50126,29,Female,110,67,15,407,42825,161
50127,51,Male,52,12,5,297,38658,67
50128,50,Male,118,28,15,274,21408,64
50129,65,Male,46,39,10,476,19595,122
50130,40,Female,168,37,5,404,40587,145
50131,41,Male,72,95,3,441,25019,44
50132,54,Female,181,60,6,444,41299,5
50133,52,Female,162,31,15,397,35416,94
50134,61,Male,96,58,18,306,33692,79
50135,57,Female,64,97,14,34,26340,39
50136,39,Female,66,97,10,154,45419,170
50137,44,Male,100,11,4,184,16687,102
50138,52,Male,129,29,11,17,37015,92
50139,18,Male,164,89,7,323,262,21
50140,52,Female,67,13,15,118,35030,175
50141,54,Male,80,51,9,138,28645,74
50142,64,Female,131,54,15,11,20149,28
50143,31,Female,57,19,12,19,27002,149
50144,20,Female,96,58,18,356,39552,113
50145,18,Female,165,36,6,126,16047,28
50146,22,Female,78,28,18,420,14846,86
50147,43,Male,151,68,18,406,12464,102
50148,31,Male,127,3,6,328,5033,19
50149,56,Female,149,89,15,20,20230,63
50150,44,Female,183,41,19,407,42950,116
50151,26,Male,68,35,5,105,14491,38
50152,32,Male,79,93,4,473,16713,46
50153,32,Female,16,93,17,389,35983,152
50154,43,Female,146,76,10,102,16025,92
50155,59,Male,92,99,12,111,5490,173
50156,30,Male,46,84,5,107,34948,9
50157,68,Female,114,81,7,291,38493,9
50158,49,Male,144,76,12,462,2019,21
50159,56,Male,118,50,2,476,31968,24
50160,66,Female,156,74,17,304,5307,95
50161,69,Female,162,82,13,357,12936,93
50162,49,Female,103,30,5,165,26983,40
50163,21,Male,63,72,5,154,11680,132
50164,47,Female,150,77,12,430,37751,131
50165,54,Male,188,95,12,373,35863,141
50166,40,Female,163,70,7,220,18340,21
50167,56,Female,101,54,6,164,18911,8
50168,62,Male,174,71,10,251,43288,120
50169,32,Male,22,85,19,85,19780,110
50170,60,Female,115,51,16,332,26993,129
50171,46,Female,30,28,2,387,36621,14
50172,53,Male,54,64,4,461,48917,76
50173,30,Female,120,85,9,184,44321,36
50174,49,Male,41,21,5,120,10819,150
50175,24,Male,118,88,1,468,13347,117
50176,68,Female,119,27,11,427,39222,164
50177,39,Male,160,27,19,27,4459,45
50178,45,Male,49,77,3,300,33382,144
50179,19,Male,127,50,1,283,28870,11
50180,59,Female,66,29,4,247,29026,67
50181,62,Male,157,39,9,207,6537,98
50182,23,Female,67,57,16,171,8346,153
50183,45,Female,105,92,7,426,13987,90
50184,45,Female,95,37,5,393,47988,159
50185,61,Male,118,93,13,209,31744,113
50186,61,Male,80,64,11,243,43228,90
50187,37,Female,127,48,14,392,25798,89
50188,47,Female,45,22,17,349,39220,11
50189,28,Male,75,30,12,477,33366,80
50190,45,Female,115,28,19,52,20554,84
50191,42,Female,119,23,5,91,41288,106
